Time,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
0.184,96.394535,13.30762,384.380825,29.093445,-199.02258,431.806245,39.886475,164.71991,438.437835,-7.624145,-266.83508,84.958955,170.048275,-284.69287,-63.428075,-40.797735,253.22803,93.729335,127.002805,301.20593,-27.756985,10.726685,-175.32117,1.798185,-10.726685,175.32117,-1.798185,14.607905,-26.3598,-504.725065,-114.399355,-70.03406,-866.279845,41.589045,48.43671,-494.011145,-73.345705,119.8927,-855.261375,65.304255,-5.23584,707.365695,0,0,0
0.188,96.655185,13.481415,384.51977,29.537015,-198.886325,432.05432,40.004425,164.881925,438.60046,-5.977325,-267.176975,85.156,172.548245,-284.457985,-62.57105,-40.379795,253.794465,93.91491,128.441005,301.679895,-26.26465,11.000945,-175.331025,1.6922,-11.000945,175.331025,-1.6922,14.790925,-25.879185,-504.41929,-113.420385,-69.287875,-866.24147,41.996425,48.790005,-493.81064,-72.348785,120.681915,-855.06411,64.897065,-5.126255,707.57312,0,0,0
0.192,96.920785,13.643955,384.66208,29.959475,-198.747345,432.28574,40.115665,165.030185,438.75742,-4.315305,-267.492945,85.31064,175.063965,-284.239775,-61.70218,-39.920165,254.352995,94.07761,129.930485,302.147305,-24.75119,11.308045,-175.326815,1.58823,-11.308045,175.326815,-1.58823,14.925475,-25.435635,-504.2074,-112.464225,-68.554045,-866.21622,42.389715,49.121065,-493.59509,-71.371155,121.462005,-854.87389,64.489015,-5.026155,707.7695,0,0,0
0.196,97.182195,13.79431,384.79327,30.365545,-198.61224,432.48822,40.222045,165.15759,438.89948,-2.631895,-267.84186,85.44672,177.580935,-284.02533,-60.82379,-39.414125,254.90857,94.2132,131.471745,302.60431,-23.23358,11.650695,-175.30621,1.4986,-11.650695,175.30621,-1.4986,15.020445,-25.03143,-504.10059,-111.533995,-67.83551,-866.21481,42.765995,49.42657,-493.38089,-70.417055,122.22705,-854.70401,64.077085,-4.94293,707.93964,0,0,0
0.2,97.43118,13.932985,384.903535,30.76529,-198.486445,432.658785,40.32382,165.258795,439.024755,-0.9155,-268.288085,85.603975,180.07944,-283.805175,-59.936915,-38.84891,255.471925,94.328345,133.07486,303.049745,-21.715055,12.02945,-175.269655,1.430635,-12.02945,175.269655,-1.430635,15.09549,-24.662715,-504.084435,-110.62625,-67.133905,-866.240445,43.12308,49.708745,-493.180445,-69.48727,122.972165,-854.559315,63.66159,-4.880855,708.076385,0,0,0
0.204,97.660705,14.06162,384.98669,31.170835,-198.37259,432.80078,40.418765,165.33145,439.13769,0.844845,-268.86392,85.8092,182.555415,-283.57534,-59.03815,-38.209295,256.05814,94.43201,134.753115,303.48575,-20.18933,12.442075,-175.22049,1.38605,-12.442075,175.22049,-1.38605,15.173455,-24.32083,-504.12952,-109.732365,-66.44723,-866.28958,43.461605,49.9766,-493.00067,-68.579895,123.69437,-854.43662,63.243775,-4.83999,708.18042,0,0,0
0.208,97.866915,14.183255,385.042175,31.591645,-198.269075,432.921685,40.505835,165.377535,439.246645,2.652435,-269.548615,86.059385,185.028415,-283.335605,-58.118415,-37.485685,256.683075,94.528625,136.519505,303.915255,-18.643985,12.883635,-175.163725,1.360105,-12.883635,175.163725,-1.360105,15.274575,-23.994595,-504.201385,-108.841945,-65.769745,-866.352685,43.787205,50.244655,-492.842255,-67.691255,124.393095,-854.326545,62.825965,-4.815335,708.259215,0,0,0
0.212,98.052945,14.302125,385.07767,32.034145,-198.170285,433.0314,40.588405,165.401855,439.36441,4.500215,-270.281375,86.33218,187.527555,-283.085935,-57.16428,-36.674225,257.359255,94.62173,138.385035,304.339235,-17.06198,13.346285,-175.104245,1.34183,-13.346285,175.104245,-1.34183,15.415805,-23.671935,-504.26407,-107.944005,-65.094055,-866.41504,44.110505,50.528505,-492.69916,-66.816015,125.069825,-854.215,62.412935,-4.797725,708.32571,0,0,0
0.216,98.229185,14.42178,385.106505,32.503475,-198.06961,433.141535,40.673645,165.40884,439.504825,6.377255,-270.99881,86.608095,190.076415,-282.82633,-56.162725,-35.771665,258.09335,94.716855,140.356385,304.7551,-15.426515,13.820675,-175.04581,1.317995,-13.820675,175.04581,-1.317995,15.610295,-23.34341,-504.287115,-107.028015,-64.41477,-866.461245,44.444275,50.83993,-492.561215,-65.947265,125.72604,-854.087355,62.013005,-4.77731,708.394715,0,0,0
0.22,98.408625,14.545625,385.138855,33.003355,-197.961945,433.259215,40.767635,165.403595,439.672665,8.277225,-271.658355,86.876155,192.687375,-282.555575,-55.109315,-34.774175,258.886625,94.814635,142.434265,305.158115,-13.731015,14.298525,-174.992215,1.280335,-14.298525,174.992215,-1.280335,15.864805,-23.003755,-504.256625,-106.086185,-63.729645,-866.483685,44.799925,51.185635,-492.421295,-65.078795,126.362215,-853.937135,61.634035,-4.747585,708.472965,0,0,0
